model,prompt_id,day_1,day_2,similarity
gpt-4o-mini,1,1,2,0.99960387
gpt-4o-mini,1,2,3,0.97381234
gpt-4o-mini,1,3,4,0.99381495
gpt-4o-mini,1,4,5,0.9698751
gpt-4o-mini,1,5,6,0.9971614
gpt-4o-mini,1,6,7,0.9906642
gpt-4o-mini,1,7,8,0.9894039
gpt-4o-mini,1,8,9,0.9990343
gpt-4o-mini,1,9,10,0.97797716
gpt-4o-mini,1,10,11,0.9765421
gpt-4o-mini,1,11,12,0.9703705
gpt-4o-mini,1,12,13,0.97116274
gpt-4o-mini,1,13,14,0.9509753
gpt-4o-mini,1,14,15,0.99232984
gpt-4o-mini,1,15,16,0.9908364
gpt-4o-mini,1,16,17,0.97506964
gpt-4o-mini,1,17,18,0.9765811
gpt-4o-mini,1,18,19,0.99373204
gpt-4o-mini,1,19,20,0.9971614
gpt-4o-mini,1,20,21,0.9971614
gpt-4o-mini,1,21,22,0.998523
gpt-4o-mini,1,22,23,0.9940683
gpt-4o-mini,1,23,24,0.9916503
gpt-4o-mini,1,24,25,0.9675059
gpt-4o-mini,1,25,26,0.9869134
gpt-4o-mini,1,26,27,0.96349496
gpt-4o-mini,1,27,28,0.9963025
gpt-4o-mini,1,28,29,0.9786272
gpt-4o-mini,1,29,30,0.978432
gpt-4o-mini,2,1,2,0.94867676
gpt-4o-mini,2,2,3,0.94867676
gpt-4o-mini,2,3,4,0.94560134
gpt-4o-mini,2,4,5,0.9950385
gpt-4o-mini,2,5,6,0.99349487
gpt-4o-mini,2,6,7,1.0000002
gpt-4o-mini,2,7,8,1.0000002
gpt-4o-mini,2,8,9,0.98773295
gpt-4o-mini,2,9,10,0.98861927
gpt-4o-mini,2,10,11,0.9920497
gpt-4o-mini,2,11,12,0.9911679
gpt-4o-mini,2,12,13,0.9911679
gpt-4o-mini,2,13,14,1.0000002
gpt-4o-mini,2,14,15,0.99796414
gpt-4o-mini,2,15,16,0.9923493
gpt-4o-mini,2,16,17,0.9920497
gpt-4o-mini,2,17,18,1.0000002
gpt-4o-mini,2,18,19,0.9503294
gpt-4o-mini,2,19,20,0.9503294
gpt-4o-mini,2,20,21,0.99349487
gpt-4o-mini,2,21,22,0.99349487
gpt-4o-mini,2,22,23,0.9456755
gpt-4o-mini,2,23,24,0.9456755
gpt-4o-mini,2,24,25,0.992645
gpt-4o-mini,2,25,26,0.99539924
gpt-4o-mini,2,26,27,0.9949034
gpt-4o-mini,2,27,28,0.9524791
gpt-4o-mini,2,28,29,0.9524791
gpt-4o-mini,2,29,30,0.99796414
gpt-4o-mini,3,1,2,1.0000001
gpt-4o-mini,3,2,3,0.9781975
gpt-4o-mini,3,3,4,0.9913473
gpt-4o-mini,3,4,5,0.98818004
gpt-4o-mini,3,5,6,0.98983866
gpt-4o-mini,3,6,7,0.98059
gpt-4o-mini,3,7,8,0.99997014
gpt-4o-mini,3,8,9,0.99136525
gpt-4o-mini,3,9,10,1.0000001
gpt-4o-mini,3,10,11,1.0000001
gpt-4o-mini,3,11,12,1.0000001
gpt-4o-mini,3,12,13,0.98813283
gpt-4o-mini,3,13,14,0.9870866
gpt-4o-mini,3,14,15,0.99092954
gpt-4o-mini,3,15,16,0.9913792
gpt-4o-mini,3,16,17,0.99139786
gpt-4o-mini,3,17,18,0.90354204
gpt-4o-mini,3,18,19,0.9031105
gpt-4o-mini,3,19,20,0.9913792
gpt-4o-mini,3,20,21,1.0000001
gpt-4o-mini,3,21,22,0.9050883
gpt-4o-mini,3,22,23,0.91919893
gpt-4o-mini,3,23,24,0.9870026
gpt-4o-mini,3,24,25,0.9701813
gpt-4o-mini,3,25,26,0.97269404
gpt-4o-mini,3,26,27,0.996459
gpt-4o-mini,3,27,28,0.9913792
gpt-4o-mini,3,28,29,0.9913792
gpt-4o-mini,3,29,30,0.9867584
gpt-4o-mini,4,1,2,0.9500506
gpt-4o-mini,4,2,3,0.94256127
gpt-4o-mini,4,3,4,0.9430579
gpt-4o-mini,4,4,5,0.9545636
gpt-4o-mini,4,5,6,0.9504299
gpt-4o-mini,4,6,7,0.9427997
gpt-4o-mini,4,7,8,0.93699336
gpt-4o-mini,4,8,9,0.9864875
gpt-4o-mini,4,9,10,0.92809474
gpt-4o-mini,4,10,11,0.9388379
gpt-4o-mini,4,11,12,0.93487704
gpt-4o-mini,4,12,13,0.94065875
gpt-4o-mini,4,13,14,0.9637054
gpt-4o-mini,4,14,15,0.96862006
gpt-4o-mini,4,15,16,0.92505896
gpt-4o-mini,4,16,17,0.96814895
gpt-4o-mini,4,17,18,0.95444465
gpt-4o-mini,4,18,19,0.9663705
gpt-4o-mini,4,19,20,0.9879788
gpt-4o-mini,4,20,21,0.95379
gpt-4o-mini,4,21,22,0.9287334
gpt-4o-mini,4,22,23,0.9287334
gpt-4o-mini,4,23,24,0.95687664
gpt-4o-mini,4,24,25,0.98172903
gpt-4o-mini,4,25,26,0.9618226
gpt-4o-mini,4,26,27,0.9606615
gpt-4o-mini,4,27,28,0.9347948
gpt-4o-mini,4,28,29,0.8878658
gpt-4o-mini,4,29,30,0.9326569
gpt-4o-mini,5,1,2,0.9829356
gpt-4o-mini,5,2,3,0.9823667
gpt-4o-mini,5,3,4,0.97641134
gpt-4o-mini,5,4,5,0.9843458
gpt-4o-mini,5,5,6,0.9714587
gpt-4o-mini,5,6,7,0.98200125
gpt-4o-mini,5,7,8,0.97931767
gpt-4o-mini,5,8,9,0.97931767
gpt-4o-mini,5,9,10,0.9823538
gpt-4o-mini,5,10,11,0.9823538
gpt-4o-mini,5,11,12,0.97898304
gpt-4o-mini,5,12,13,0.9895102
gpt-4o-mini,5,13,14,0.9837017
gpt-4o-mini,5,14,15,0.9867668
gpt-4o-mini,5,15,16,0.98920596
gpt-4o-mini,5,16,17,0.98911524
gpt-4o-mini,5,17,18,1.0000001
gpt-4o-mini,5,18,19,0.98878205
gpt-4o-mini,5,19,20,0.9654088
gpt-4o-mini,5,20,21,0.9826387
gpt-4o-mini,5,21,22,0.9563976
gpt-4o-mini,5,22,23,0.9666775
gpt-4o-mini,5,23,24,0.9854204
gpt-4o-mini,5,24,25,0.9968966
gpt-4o-mini,5,25,26,0.9665494
gpt-4o-mini,5,26,27,0.97421443
gpt-4o-mini,5,27,28,0.984382
gpt-4o-mini,5,28,29,0.9849473
gpt-4o-mini,5,29,30,0.9617985
gpt-4o-mini,6,1,2,0.9926556
gpt-4o-mini,6,2,3,0.9990013
gpt-4o-mini,6,3,4,0.99835753
gpt-4o-mini,6,4,5,0.964688
gpt-4o-mini,6,5,6,0.9750254
gpt-4o-mini,6,6,7,0.98891795
gpt-4o-mini,6,7,8,0.9888457
gpt-4o-mini,6,8,9,0.9977464
gpt-4o-mini,6,9,10,0.9858733
gpt-4o-mini,6,10,11,1.0000002
gpt-4o-mini,6,11,12,0.9858733
gpt-4o-mini,6,12,13,0.99852484
gpt-4o-mini,6,13,14,1.0
gpt-4o-mini,6,14,15,1.0
gpt-4o-mini,6,15,16,0.99852484
gpt-4o-mini,6,16,17,0.9984504
gpt-4o-mini,6,17,18,0.96425116
gpt-4o-mini,6,18,19,0.9690071
gpt-4o-mini,6,19,20,0.99535835
gpt-4o-mini,6,20,21,0.99535835
gpt-4o-mini,6,21,22,0.98892164
gpt-4o-mini,6,22,23,0.99221337
gpt-4o-mini,6,23,24,0.9896935
gpt-4o-mini,6,24,25,0.9858733
gpt-4o-mini,6,25,26,0.9934727
gpt-4o-mini,6,26,27,0.9896935
gpt-4o-mini,6,27,28,0.9292177
gpt-4o-mini,6,28,29,0.9292177
gpt-4o-mini,6,29,30,0.9977464
gpt-4o-mini,7,1,2,0.9911825
gpt-4o-mini,7,2,3,0.9911825
gpt-4o-mini,7,3,4,1.0
gpt-4o-mini,7,4,5,0.94646674
gpt-4o-mini,7,5,6,0.94646674
gpt-4o-mini,7,6,7,0.93856096
gpt-4o-mini,7,7,8,1.0
gpt-4o-mini,7,8,9,0.9440274
gpt-4o-mini,7,9,10,0.9457562
gpt-4o-mini,7,10,11,0.94646674
gpt-4o-mini,7,11,12,0.94177485
gpt-4o-mini,7,12,13,0.94177485
gpt-4o-mini,7,13,14,0.9165994
gpt-4o-mini,7,14,15,0.8645335
gpt-4o-mini,7,15,16,0.93501127
gpt-4o-mini,7,16,17,0.9246908
gpt-4o-mini,7,17,18,0.99569976
gpt-4o-mini,7,18,19,0.92448413
gpt-4o-mini,7,19,20,0.91405654
gpt-4o-mini,7,20,21,0.918748
gpt-4o-mini,7,21,22,0.895817
gpt-4o-mini,7,22,23,0.895817
gpt-4o-mini,7,23,24,0.9439545
gpt-4o-mini,7,24,25,0.9482939
gpt-4o-mini,7,25,26,0.91329086
gpt-4o-mini,7,26,27,0.9030579
gpt-4o-mini,7,27,28,0.9361344
gpt-4o-mini,7,28,29,0.97263587
gpt-4o-mini,7,29,30,0.9369427
gpt-4o-mini,8,1,2,0.99941146
gpt-4o-mini,8,2,3,1.0000002
gpt-4o-mini,8,3,4,1.0000002
gpt-4o-mini,8,4,5,1.0000002
gpt-4o-mini,8,5,6,0.98295116
gpt-4o-mini,8,6,7,0.98295116
gpt-4o-mini,8,7,8,0.9989098
gpt-4o-mini,8,8,9,0.9898195
gpt-4o-mini,8,9,10,0.986735
gpt-4o-mini,8,10,11,0.9765952
gpt-4o-mini,8,11,12,0.9693033
gpt-4o-mini,8,12,13,0.9712001
gpt-4o-mini,8,13,14,0.9712001
gpt-4o-mini,8,14,15,0.9949902
gpt-4o-mini,8,15,16,0.98902774
gpt-4o-mini,8,16,17,0.98969984
gpt-4o-mini,8,17,18,0.9743284
gpt-4o-mini,8,18,19,0.95830035
gpt-4o-mini,8,19,20,0.9896494
gpt-4o-mini,8,20,21,0.9890208
gpt-4o-mini,8,21,22,0.9900072
gpt-4o-mini,8,22,23,1.0
gpt-4o-mini,8,23,24,0.99869823
gpt-4o-mini,8,24,25,0.99782735
gpt-4o-mini,8,25,26,0.99787617
gpt-4o-mini,8,26,27,0.99069136
gpt-4o-mini,8,27,28,0.9638829
